N;Fecha;Rival;Estadio;Resulltado;Goles;Minutos;TG;Asistido por;A;Minuto;Competencia;Notas;PR;BA;Mj;Temporada
455;01/02/2015;Villarreal C.F.;Camp Nou;03-feb;1 (3-2);55;d;Luis Suárez;;-;Liga BBVA 2014/15 Jornada 21;;;;90;2014/15341?
457;11/02/2015;Villarreal C.F.;Camp Nou;3-1371?;1 (1-0);42;z;Luis Suárez;1;64;Copa del Rey 2014/15 Semifinales Ida;;;Piqué;90;2014/15341?
462;04/03/2015;Villarreal C.F.;El Madrigal;03-ene;-;-;;;1;3;Copa del Rey 2014/15 Semifinales Vuelta;;;Neymar;90;2014/15341?
520;20/03/2016;Villarreal C.F.;El Madrigal;02-feb;-;-;;;;-;Liga BBVA 2015/16 Jornada 30;;;;90;2015/16391?
553;08/01/2017;Villarreal C.F.;La Cerámica;1-1443?;1;90;TL;;;;LaLiga Santander 2016/17 Jornada 17;;;;90;2016/17424?
580;06/05/2017;Villarreal C.F.;Camp Nou;4-1470?;2 (2-1, 4-1);45, 82;z, p;Busquets;;;LaLiga Santander 2016/17 Jornada 36;;;;90;2016/17424?
606;11/12/2017;Villarreal C.F.;La Cerámica;2-0492?;1 (2-0);83;z;Busquets;;;LaLiga Santander 2017-18 Jornada 15;;;;90;2017/18475?
636;09/05/2018;Villarreal C.F.;Camp Nou;05-ene;1 (3-0);45;z;Iniesta;;;LaLiga Santander 2017-18 Jornada 34;;;;90;2017/18475?
653;02/12/2018;Villarreal C.F.;Camp Nou;2-0522?;;;;;1;87;LaLiga Santander 2018-19 Jornada 14;;;Aleñá;;2018/19512?
676;02/04/2019;Villarreal C.F.;La Cerámica;04-abr;1 (3-4);90;TL;-;-;-;LaLiga Santander 2018-19 Jornada 30; 84'  61 Coutinho';;-;29;2018/19512?
690;24/09/2019;Villarreal C.F.;Camp Nou;2-1546?;-;-;-;-;1;6;LaLiga Santander 2019-20 Jornada 6; 46 Dembélé';;Griezmann;44;2019/20544?
725;05/07/2020;Villarreal C.F.;La Cerámica;04-ene;;;;;2 (2-1, 4-1);20, 45;LaLiga Santander 2019-20 Jornada 34;;;Luis Suárez, Griezmann;;2019/20544?
732;27/09/2020;Villarreal C.F.;Camp Nou;4-0;1 (3-0);35;p;-;-;-;LaLiga Santander 2020-21 Jornada 3;;;-;90;2020/21578?
773;25.4.2021;Villarreal C.F.;La Cerámica;02-ene;;;;;;;LaLiga Santander 2020-21 Jornada 32;;;;90;2020/21578?
10;14/09/2005;Werder Bremen;Weserstadion;2-012?;-;-;-;-;-;-;Liga de Campeones 2005/06 J1 FG; 66' Giuly;;-;25;2005/0613?
42;27/09/2006;Werder Bremen;Weserstadion;1-146?;1;89;z;Deco;-;-;Liga de Campeones 2006/07 J2 FG;;;;26;2006/0739?
180;02/12/2009;Xerez C.D.;Chapín;2-0168?;;;-;;1 (2-0);90+3;Liga BBVA 2009/10 Jornada 15; 54';;Ibrahimovi?;;2009/10156?
209;24/04/2010;Xerez C.D.;Camp Nou;3-1184?;;;-;;-;-;Liga BBVA 2009/10 Jornada 34; 51';;;;2009/10156?
