N;Fecha;Rival;Estadio;Resulltado;Goles;Minutos;TG;Asistido por;A;Minuto;Competencia;Notas;PR;BA;Mj;Temporada
333;29/08/2012;Real Madrid;Santiago Bernabéu;1-2266?;1 (1-2);45;TL;;-;-;Supercopa de España 2012 Vuelta;;;;90;2012/13263?
340;07/10/2012;Real Madrid;Camp Nou;2-2271?;2;31, 61;z, TL;;-;-;Liga BBVA 2012/13 Jornada 7;;;;90;2012/13263?
362;30/01/2013;Real Madrid;Santiago Bernabéu;1-1281?;;;-;;1;50;Copa del Rey 2012/13 Semifinales Ida;;;;;2012/13263?
368;26/02/2013;Real Madrid;Camp Nou;1-3285?;;;-;;-;-;Copa del Rey 2012/13 Semifinales Vuelta;;;;;2012/13263?
369;02/03/2013;Real Madrid;Santiago Bernabéu;1-2286?;1;18;z;Dani Alves;-;-;Liga BBVA 2012/13 Jornada 26;;;;;2012/13263?
391;26/10/2013;Real Madrid;Camp Nou;2-1305?;-;-;-;-;-;-;Liga BBVA 2013/14 Jornada 10;-;;-;90;2013/14294?
413;23/03/2014;Real Madrid;Santiago Bernabéu;4-3327?;3 (2-2, 3-3, 4-3);42, 65, 84;z, p (2);;1 (1-0);7;Liga BBVA 2013/14 Jornada 29;-;;Iniesta;90;2013/14294?
420;16/04/2014;Real Madrid;Mestalla;1-2334?;-;-;-;-;-;-;Copa del Rey 2013/14 Final;-;;-;90;2013/14294?
437;25/10/2014;Real Madrid;Santiago Bernabéu;1-3352?;-;-;;;-;-;Liga BBVA 2014/15 Jornada 9;-;;-;90;2014/15341?
466;22/03/2015;Real Madrid;Camp Nou;2-1376?;-;-;;;1 (1-0);19;Liga BBVA 2014/15 Jornada 28;;;Mathieu;90;2014/15341?
493;21/11/2015;Real Madrid;Santiago Bernabéu;4-0399?;-;-;;;;-;Liga BBVA 2015/16 Jornada 12; 56' Rakitic;;;34;2015/16391?
521;02/04/2016;Real Madrid;Camp Nou;1-2416?;-;-;;;;-;Liga BBVA 2015/16 Jornada 31;;;;90;2015/16391?
548;03/12/2016;Real Madrid;Camp Nou;1-1438?;;;;;;;LaLiga Santander 2016/17 Jornada 14;;;;90;2016/17424?
577;23/04/2017;Real Madrid;Santiago Bernabéu;3-2467?;2 (1-1, 3-2);33, 90+2;z (2);Rakitic, Jordi Alba;;;LaLiga Santander 2016/17 Jornada 33;;;;90;2016/17424?
584;13/08/2017;Real Madrid;Camp Nou;1-3474?;1 (1-1);76;p;-;-;-;Supercopa de España 2017 Ida; 40';;;;2017/18475?
585;16/08/2017;Real Madrid;Santiago Bernabéu;0-2476?;-;-;-;-;-;-;Supercopa de España 2017 Vuelta;;;;;2017/18475?
608;23/12/2017;Real Madrid;Santiago Bernabéu;3-0493?;1 (2-0);64;p;;1;90+3;LaLiga Santander 2017-18 Jornada 17;;;Aleix Vidal;90;2017/18475?
635;06/05/2018;Real Madrid;Camp Nou;2-2510?;1 (2-1);52;z;Luis Suárez;;;LaLiga Santander 2017-18 Jornada 36; 45';;;90;2017/18475?
665;06/02/2019;Real Madrid;Camp Nou;1-1527?;-;-;-;-;-;-;Copa del Rey 2018-19 Semifinales Ida; 63 Coutinho';;-;27;2018/19512?
